department_name_zh,school_name_zh,faculty_list_url,notes
理学部,数学科学学院,https://www.math.pku.edu.cn/jsdw/js_20180628175159671361/index.htm,
理学部,物理学院,https://www.phy.pku.edu.cn/jsfcjy.jsp?urltype=tree.TreeTempUrl&wbtreeid=1658,
理学部,化学与分子工程学院,https://www.chem.pku.edu.cn/szll/zzjs/index.htm,
理学部,生命科学学院,https://www.bio.pku.edu.cn/homes/Index/news_szll_zy/16/16.html,
理学部,城市与环境学院,https://ues.pku.edu.cn/szdw/zzjzg/index.htm,
理学部,地球与空间科学学院,https://sess.pku.edu.cn/jzyg/zzjzg/qb.htm,
理学部,心理与认知科学学院,https://www.psy.pku.edu.cn/szdw/qzjy/index.htm,
理学部,建筑与景观设计学院,https://www.cala.pku.edu.cn/jx/szdw.htm,
信息科学与技术学部,电子学院,https://ele.pku.edu.cn/szdw/zzjs.htm,
信息科学与技术学部,计算机学院,https://cs.pku.edu.cn/szdw/jyxl/amz/ALL.htm,
信息科学与技术学部,集成电路学院集成微纳电子系,https://ic.pku.edu.cn/szdw/zzjs/jcwndzx1/index.htm,
信息科学与技术学部,集成电路学院集成电路设计系,https://ic.pku.edu.cn/szdw/zzjs/jcdlsjx1/index.htm,
信息科学与技术学部,集成电路学院设计自动化与计算系统系,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/index.htm,
信息科学与技术学部,集成电路学院集成微纳系统系,https://ic.pku.edu.cn/szdw/zzjs/jcwnxtx1/index.htm,
信息科学与技术学部,集成电路学院集成电路先进制造技术研究中心,https://ic.pku.edu.cn/szdw/zzjs/jcdlxjzzjsyjzx1/index.htm,
信息科学与技术学部,智能学院,https://sai.pku.edu.cn/szdw/zzjs.htm,
信息科学与技术学部,王选计算机研究所,https://www.icst.pku.edu.cn/xstd/jyxl/index.htm,
信息科学与技术学部,软件与微电子学院工学博士,https://ss.pku.edu.cn/sztd/xssbsz/index.htm
信息科学与技术学部,软件与微电子学院电子信息博士,https://ss.pku.edu.cn/sztd/qygcbssz/index.htm,
工学部,力学与工程科学学院,https://mech.pku.edu.cn/jzyg/szdw/index.htm,
工学部,先进制造与机器人学院,https://amr.pku.edu.cn/jzyg/szdw/index.htm,
工学部,材料科学与工程学院,https://www.mse.pku.edu.cn/jzyg/zzjs.htm,
工学部,环境科学与工程学院,https://cese.pku.edu.cn/szdw/zzjs/index.htm,